Number,Title,Mood,Length,Familiarity,Limited,Easter,Patriotic,Pioneer,Thanksgiving,Christmas,NewYear,Sacrament,Fasting,Closing,Dismiss
277,As I Search the Holy Scriptures,Prayerfully,2,3,,,,,,,,,,,
278,Thanks for the Sabbath School,Joyfully,3,2,,,,,,,,,,,
279,Thy Holy Word,Fervently,2,2,,,,,,,,,,,
280,"Welcome, Welcome, Sabbath Morning",Brightly,4,2,,,,,,,,,,,
281,Help Me Teach with Inspiration,Fervently,3,3,,,,,,,,,,,
282,We Meet Again in Sabbath School,Joyfully,3,1,,,,,,,,,,,
283,The Glorious Gospel Light Has Shone,Majestically,3,2,,,,,,,,,,,
284,If You Could Hie to Kolob*,With contemplation,4,4,,,,,,,,,,,
285,God Moves in a Mysterious Way,With dignity,2,2,,,,,,,,,,,
286,"Oh, What Songs of the Heart",Joyfully,3,3,,,,,,,,,,,
287,"Rise, Ye Saints, and Temples Enter",Resolutely,2,2,,,,,,,,,,,
288,"How Beautiful Thy Temples, Lord",Earnestly,3,2,,,,,,,,,,,
289,Holy Temples on Mount Zion,Boldly,3,2,,,,,,,,,,,
290,"Rejoice, Ye Saints of Latter Days",Joyfully,2,2,,,,,,,,,,,
291,Turn Your Hearts,Brightly,2,2,,,,,,,,,,,
292,O My Father,Fervently,4,4,,,,,,,,,,,
293,Each Life That Touches Ours for Good,Thoughtfully,3,4,,,,,,,,,,,
294,Love at Home,Fervently,4,5,,,,,,,,,,,
295,O Love That Glorifies the Son,Peacefully,3,2,,,,,,,,,,,
296,"Our Father, by Whose Name",Worshipfully,3,2,,,,,,,,,,,
297,From Homes of Saints Glad Songs Arise,Joyfully,2,2,,,,,,,,,,,
298,Home Can Be a Heaven on Earth,Brightly,3,3,,,,,,,,,,,
299,Children of Our Heavenly Father*,Fervently,2,2,,,,,,,,,,,
300,Families Can Be Together Forever,Brightly,2,5,,,,,,,,,,,
301,I Am a Child of God,Fervently,3,5,,,,,,,,,,,x
302,I Know My Father Lives,Gently,2,4,,,,,,,,,,,x
303,Keep the Commandments,Gently,1,4,,,,,,,,,,,
304,Teach Me to Walk in the Light,Prayerfully,2,5,,,,,,,,,,,x
305,The Light Divine,Fervently,4,3,,,,,,,,,,,
306,God’s Daily Care,Reverently,1,2,,,,,,,,,,,
307,In Our Lovely Deseret,Brightly,3,3,,,,,,,,,,,
308,Love One Another,Reverently,1,4,,,,,,,,,,,
309,As Sisters in Zion (Women),Resolutely,2,4,x,,,,,,,,,,
310,A Key Was Turned in Latter Days (Women),With dignity,2,1,x,,,,,,,,,,
311,We Meet Again as Sisters (Women),Thoughtfully,3,1,x,,,,,,,,,,
312,We Ever Pray for Thee (Women),Fervently,4,3,x,,,,,,,,,,
313,God Is Love (Women),Gently,3,3,x,,,,,,,,,,
314,How Gentle God’s Commands (Women),Gently,2,4,x,,,,,,,,,,
315,"Jesus, the Very Thought of Thee (Women)",Reverently,3,4,x,,,,,,,,,,
316,The Lord Is My Shepherd (Women),Peacefully,3,4,x,,,,,,,,,,
317,Sweet Is the Work (Women),Fervently,4,4,x,,,,,,,,,,
318,Love at Home (Women),Fervently,4,4,x,,,,,,,,,,
319,Ye Elders of Israel (Men),Boldly,3,4,x,,,,,,,,,,
320,The Priesthood of Our Lord (Men),Boldly,1,1,x,,,,,,,,,,
321,Ye Who Are Called to Labor (Men),Boldly,3,1,x,,,,,,,,,,
322,"Come, All Ye Sons of God (Men)",Boldly,2,3,x,,,,,,,,,,
323,"Rise Up, O Men of God (Men’s Choir)",With vigor,2,1,x,,,,,,,,,,
324,"Rise Up, O Men of God (Men)",Majestically,1,3,x,,,,,,,,,,
325,See the Mighty Priesthood Gathered (Men’s Choir),Vigorously,3,1,x,,,,,,,,,,
326,"Come, Come, Ye Saints (Men’s Choir)",Resolutely,4,4,x,,,,,,,,,,
327,"Go, Ye Messengers of Heaven (Men’s Choir)",Reverently,2,1,x,,,,,,,,,,
328,An Angel from on High (Men’s Choir),Thoughtfully,4,3,x,,,,,,,,,,
329,Thy Servants Are Prepared (Men’s Choir),Resolutely,1,1,x,,,,,,,,,,
330,"See, the Mighty Angel Flying (Men’s Choir)",Resolutely,2,1,x,,,,,,,,,,
331,"Oh Say, What Is Truth? (Men’s Choir)",Firmly,2,3,x,,,,,,,,,,
332,"Come, O Thou King of Kings (Men’s Choir)",Boldly,3,4,x,,,,,,,,,,
333,High on the Mountain Top (Men’s Choir),Resolutely,2,4,x,,,,,,,,,,
334,I Need Thee Every Hour (Men’s Choir),Fervently,4,4,x,,,,,,,,,,
335,Brightly Beams Our Father’s Mercy (Men’s Choir),Fervently,3,4,x,,,,,,,,,,
336,School Thy Feelings (Men’s Choir),Resolutely,6,1,x,,,,,,,,,,
337,O Home Beloved (Men’s Choir),Fervently,3,1,x,,,,,,,,,,
338,America the Beautiful,With dignity,3,4,x,,x,,,,,,,,
339,"My Country, ’Tis of Thee",With dignity,2,4,x,,x,,,,,,,,
340,The Star-Spangled Banner,Vigorously,4,4,x,,x,,,,,,,,
341,God Save the King,With dignity,2,4,x,,,,,,,,,,
1001,"Come, Thou Fount of Every Blessing",0.4,3,4,,,,,,,,,,,
1002,"When the Savior Comes Again",0.4,2,1,x,,,,,,,,,,
1003,"It Is Well with My Soul",0.4,3,3,,,,,,,,,,,
1004,"I Will Walk with Jesus",0.6,3,3,x,,,,,,,,,,
1005,"His Eye Is on the Sparrow",0.6,4,1,x,,,,,,,,,,
1006,"Think a Sacred Song",0.6,1,1,x,,,,,,,,,,
1007,"As Bread Is Broken",0.2,2,4,x,,,,,,,x,,,
1008,"Bread of Life, Living Water",0.2,3,4,x,,,,,,,x,,,
1009,"Gethsemane",0.8,3,3,x,,,,,,,,,,
1201,"Hail the Day That Sees Him Rise",1.0,3,1,x,x,,,,,,,,,
1202,"He Is Born, the Divine Christ Child",1,2,2,x,,,,,x,,,,,
1203,"What Child Is This",0.6,2,4,x,,,,,x,,,,,
1204,"Star Bright",0.8,3,1,x,,,,,x,,,,,
